stop_id,name,latitude,longitude,type,capacity,assoc_node_id
129,Học viện cán bộ TP.HCM - Cổng 2,10.8129722,106.7008542,bus_stop,2,663
130,Học viện cán bộ TP.HCM - Cổng 6,10.8109977,106.7032511,bus_stop,2,8
131,Đường số 8,10.810721,106.7068417,bus_stop,2,353
132,Bến Xe Miền Đông (Bến Thanh),10.81487465,106.7114713702647,bus_stop,2,575
133,Ga Tân Cảng,10.7985913,106.72324288717851,bus_stop,2,294
134,,10.7985023,106.7231231,metro_station,5,599
135,,10.7986787,106.7232922,metro_station,5,294
136,Ga Công Viên Văn Thánh,10.7960663,106.71549336802686,bus_stop,2,402
137,,10.7956398,106.7150576,metro_station,5,854
138,,10.7957294,106.714989,metro_station,5,854
139,Bến xe buýt Văn Thánh,10.80114865,106.71750521688747,bus_stop,2,766
140,Virtual Stop 0,10.795948817708481,106.69448974442298,virtual_stop,2,522
141,Virtual Stop 1,10.79399972450497,106.7120944902214,virtual_stop,2,877
142,Virtual Stop 2,10.799011505487544,106.70667122251314,virtual_stop,2,998
143,Virtual Stop 3,10.803642871157919,106.6984428975996,virtual_stop,2,131
144,Virtual Stop 4,10.806480331887279,106.71371990675225,virtual_stop,2,446
145,Virtual Stop 5,10.793015865866561,106.72167659885235,virtual_stop,2,845
146,Virtual Stop 6,10.799548579047604,106.69940295244514,virtual_stop,2,872
147,Virtual Stop 7,10.798663266666667,106.71853406666666,virtual_stop,2,1078
148,Virtual Stop 8,10.810649031892032,106.70301140923839,virtual_stop,2,8
149,Virtual Stop 9,10.789360299606088,106.71808370258532,virtual_stop,2,615
150,Virtual Stop 10,10.790622187631874,106.71108175446513,virtual_stop,2,822
151,Virtual Stop 11,10.793062404946633,106.70610381275739,virtual_stop,2,826
152,Virtual Stop 12,10.803001929950069,106.69437792401203,virtual_stop,2,534
153,Virtual Stop 13,10.792070667824731,106.71229553394394,virtual_stop,2,659
154,Virtual Stop 14,10.816555528451257,106.7018055869848,virtual_stop,2,815
